LocationID,LocationName
100021,Z KAITAIA
100023,Z TAIPA
100062,Z KAIKOHE
100101,Z KAMO
100102,Z KENSINGTON
100232,Z RIVERHEAD
100246,Z MANLY
100281,Z GREEN BAY
100290,Z GLEN EDEN
100307,Z NORTHCROSS
100314,Z MAIRANGI BAY
100340,Z MILFORD
100350,Z LAKESIDE
100354,Z SUNNYBRAE
100363,Z GLEN PARK
100375,Z BEACH RD
100383,Z QUAY ST
100403,Z NEWTON
100408,Z PONSONBY
100419,Z POINT CHEV
100437,Z MT ALBERT
100480,Z HILLSBOROUGH RD
100512,Z WAIKARAKA
100521,Z KEPA RD
100530,Z REMUERA
100534,Z PANMURE
100568,Z TRIANGLE
100579,Z PAKURANGA
100584,Z CLEVEDON
100615,Z MANUREWA
100632,Z HUNTERS CORNER
100677,Z TAKANINI
100682,Z WAIUKU
100739,Z NGARUAWAHIA
100750,Z CAMBRIDGE
100773,Z NGATEA
100800,Z MORRINSVILLE
100827,Z MATAMATA
100875,Z PUTARURU
100898,Z ROSETOWN
100907,Z TE AWAMUTU
100914,Z FIVE CROSSROADS
100927,Z EASTSIDE
100946,Z ANGLESEA
100952,Z DINSDALE
100985,Z WHITIANGA
100994,Z WHANGAMATA
101023,Z PAEROA
101055,Z 15TH AVE
101070,Z 11TH AVE
101085,Z CENTRAL PARADE
101095,Z TE PUKE
101139,Z FAIRY SPRINGS
101182,Z TAUPO
101189,Z AWAKERI
101192,Z KAWERAU
101193,Z WHAKATANE
101250,Z TE KUITI
101359,Z GISBORNE
101381,Z WAIROA
101429,Z TARADALE
101448,Z TAMATEA
101460,Z HAVELOCK NORTH
101481,Z KARAMU RD
101624,Z MERRILANDS
101646,Z INGLEWOOD
101706,Z HAWERA
101720,Z DUBLIN ST
101754,Z WAIOURU
101778,Z MARTON
101866,Z FAIRWAY
101874,Z PIONEER HWY
101895,Z SANSON
101936,Z LEVIN
101983,Z MASTERTON
102049,Z SEAVIEW
102066,Z HIGH ST
102091,Z HARBOUR CITY
102104,Z VIVIAN ST
102121,Z CONSTABLE ST
102128,Z KILBIRNIE
102152,Z CROFTON DOWNS
102166,Z MANA
102190,Z TAWA
102204,Z TRENTHAM
102262,Z REDWOOD
102268,Z SPRINGLANDS
102339,Z STOKE
102349,Z RICHMOND
102350,Z HALIFAX ST
102362,Z RUTHERFORD
102428,Z GREYMOUTH
102487,Z AMBERLEY
102508,Z WAIKUKU
102616,Z BRYNDWR
102636,Z SHIRLEY
102652,Z WOOLSTON
102654,Z LINWOOD
102657,Z NEW BRIGHTON
102670,Z BARRINGTON
